name,url,remote_support,adaptive_support,description,job_levels,languages,duration_minutes,test_type
Global Skills Development Report,https://www.shl.com/products/product-catalog/view/global-skills-development-report/,Yes,No,"Global Skills Development Report Description This report is designed to be given to individuals who have completed the Global Skills Assessment (GSA). With coverage across the Great 8 Domains, this measure of self-reported behaviors offers a complete overview of their current skills. Participants receive actionable tips on leveraging their top skill strengths and how they might develop their growth skills. Job levels Director, Entry-Level, Executive, General Population, Graduate, Manager, Mid-Professional, Front Line Manager, Supervisor, Test Type: A E B C D P","['Director', 'Entry-Level', 'Executive', 'General Population', 'Graduate', 'Manager', 'Mid-Professional', 'Front Line Manager', 'Supervisor', '']",,,"['A', 'E', 'B', 'C', 'D', 'P']"
.NET Framework 4.5,https://www.shl.com/products/product-catalog/view/net-framework-4-5/,Yes,Yes,".NET Framework 4.5 Description The.NET Framework 4.5 test measures knowledge of .NET environment. Designed for experienced users, this test covers the following topics: Application Development, Application Foundation, Data Modeling, Deployment, Diagnostics, Performance, Portability, and Security. Job levels Professional Individual Contributor, Mid-Professional, Languages English (USA), Assessment length Approximate Completion Time in minutes = 30 Test Type: K","['Professional Individual Contributor', 'Mid-Professional', '']","['English (USA)', '']",30,['K']
.NET MVC (New),https://www.shl.com/products/product-catalog/view/net-mvc-new/,Yes,No,".NET MVC (New) Description Multi-choice test that measures the knowledge of Model-View-Controller (MVC) architecture, validation, security, routing, and areas. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 17 Test Type: K","['Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",17,['K']
.NET MVVM (New),https://www.shl.com/products/product-catalog/view/net-mvvm-new/,Yes,No,".NET MVVM (New) Description Multi-choice test that measures the knowledge of MVVM pattern, scenarios, data validation, ViewModel communication and Quick-start. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 5 Test Type: K","['Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",5,['K']
.NET WCF (New),https://www.shl.com/products/product-catalog/view/net-wcf-new/,Yes,No,".NET WCF (New) Description Multi-choice test that measures the knowledge of .NET fundamentals, WCF architecture, programming model, SOA, managing and programming WCF. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 11 Test Type: K","['Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",11,['K']
.NET WPF (New),https://www.shl.com/products/product-catalog/view/net-wpf-new/,Yes,No,".NET WPF (New) Description Multi-choice test that measures the knowledge of .NET basics, WPF, XAML controls, events, layouts, working with WPF windows/menus and deploying WPF applications. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 9 Test Type: K","['Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",9,['K']
.NET XAML (New),https://www.shl.com/products/product-catalog/view/net-xaml-new/,Yes,No,".NET XAML (New) Description Multi-choice test that measures the knowledge of XAML triggers, data binding, custom controls and layouts. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 5 Test Type: K","['Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",5,['K']
Accounts Payable (New),https://www.shl.com/products/product-catalog/view/accounts-payable-new/,Yes,No,"From assessment to intelligence A Different Kind of Talent Intelligence We combine proven behavioral science, predictive analytics, and transparent AI to deliver actionable insights that take the guesswork out of people decisions. All Solutions Talent Intelligence",,,,[]
Accounts Payable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-payable-simulation-new/,Yes,No,"Accounts Payable Simulation (New) Description Simulated data entry test that measures the ability to process payables and vendor invoices. Job levels Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 8 Test Type: S","['Entry-Level', 'Graduate', 'Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",8,['S']
Accounts Receivable (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-new/,Yes,No,,,,,[]
Accounts Receivable Simulation (New),https://www.shl.com/products/product-catalog/view/accounts-receivable-simulation-new/,Yes,No,"Accounts Receivable Simulation (New) Description Simulated data entry test that measures the ability to process receivables and invoices. Job levels Entry-Level, Graduate, Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 8 Test Type: S","['Entry-Level', 'Graduate', 'Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",8,['S']
ADO.NET (New),https://www.shl.com/products/product-catalog/view/ado-net-new/,Yes,No,"ADO.NET (New) Description Multi-choice test that measures the knowledge on the concepts of ADO.NET architecture, components and data provider objects. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 10 Test Type: K","['Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",10,['K']
Adobe Experience Manager (New),https://www.shl.com/products/product-catalog/view/adobe-experience-manager-new/,Yes,No,"Adobe Experience Manager (New) Description Multi-choice test that measures the knowledge of AEM components, templates, workflows, AEM collections, OSGi services and troubleshooting of AEM projects. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 17 Test Type: K","['Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",17,['K']
Adobe Photoshop CC,https://www.shl.com/products/product-catalog/view/adobe-photoshop-cc/,Yes,Yes,"Adobe Photoshop CC Description The Adobe Photoshop CC test measures knowledge of Adobe Photoshop CC. Designed for experienced users, this test covers the following topics: 3D, Color, File Management, Interface, Layers, Painting and Drawing, Retouch and Enhancements, Selection, Text, and Web. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 20 Test Type: K","['Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",20,['K']
Aeronautical Engineering (New),https://www.shl.com/products/product-catalog/view/aeronautical-engineering-new/,Yes,No,"Aeronautical Engineering (New) Description Multi-choice test that measures the knowledge of flight mechanics, space dynamics, aerodynamics, structures and propulsion. Job levels Graduate, Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 10 Test Type: K","['Graduate', 'Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",10,['K']
Aerospace Engineering (New),https://www.shl.com/products/product-catalog/view/aerospace-engineering-new/,Yes,No,"Aerospace Engineering (New) Description Multi-choice test that measures the conceptual knowledge of aerodynamics, aircraft systems and instrumentation, flight dynamics, space dynamics and avionics. Job levels Graduate, Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 10 Test Type: K","['Graduate', 'Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",10,['K']
Agile Software Development,https://www.shl.com/products/product-catalog/view/agile-software-development/,Yes,No,"Agile Software Development Description Multi-choice test that measures the knowledge of agile methodology, scrum, feature driven software development, incremental and iterative development and processes involved in agile software development. Job levels Graduate, Languages English (USA), Assessment length Approximate Completion Time in minutes = 7 minutes Test Type: K","['Graduate', '']","['English (USA)', '']",7,['K']
Agile Testing (New),https://www.shl.com/products/product-catalog/view/agile-testing-new/,Yes,No,"Agile Testing (New) Description Multi-choice test that measures the knowledge of tools, techniques and processes involved in the Agile testing methodology. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 13 Test Type: K","['Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",13,['K']
AI Skills,https://www.shl.com/products/product-catalog/view/ai-skills/,Yes,No,"AI Skills Description The AI Skills assessment measures the skills that help candidates successfully leverage AI in their work. Job levels General Population, Languages English (USA), Assessment length Approximate Completion Time in minutes = 16 Test Type: P","['General Population', '']","['English (USA)', '']",16,['P']
Amazon Web Services (AWS) Development (New),https://www.shl.com/products/product-catalog/view/amazon-web-services-aws-development-new/,Yes,No,"Amazon Web Services (AWS) Development (New) Description Multi-choice test that measures the knowledge of AWS delivery process, monitoring, metrics, logging, security, validation and scalability. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 6 Test Type: K","['Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",6,['K']
Android Development (New),https://www.shl.com/products/product-catalog/view/android-development-new/,Yes,No,"Android Development (New) Description Multi-choice test that measures the knowledge of UI components for an Android device, services and alerts, animation and media apps, application components, security and testing. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 7 Test Type: K","['Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",7,['K']
Angular 6 (New),https://www.shl.com/products/product-catalog/view/angular-6-new/,Yes,No,"Angular 6 (New) Description Multi-choice test that measures the knowledge of the basic components and modules of Angular 6 and concepts like data binding, dependency injection, CRUD with HTTP, typescript, routing and navigation. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 11 Test Type: K","['Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",11,['K']
AngularJS (New),https://www.shl.com/products/product-catalog/view/angularjs-new/,Yes,No,"AngularJS (New) Description Multi-choice test that measures the knowledge of AngularJS architecture, forms, directives, filters, controllers, routing and testing. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 9 Test Type: K","['Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",9,['K']
Apache Hadoop (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-new/,Yes,No,"Apache Hadoop (New) Description Multi-choice test that measures the knowledge of basic concepts of Hadoop, commands, HDFS and MapReduce. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 7 Test Type: K","['Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",7,['K']
Apache Hadoop Extensions (New),https://www.shl.com/products/product-catalog/view/apache-hadoop-extensions-new/,Yes,No,"Apache Hadoop Extensions (New) Description Multi-choice test that measures the conceptual knowledge of Pig, Hive and HBase. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 9 Test Type: K","['Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",9,['K']
Apache HBase (New),https://www.shl.com/products/product-catalog/view/apache-hbase-new/,Yes,No,"Apache HBase (New) Description Multi-choice test that measures the knowledge of HBase concepts such as CAP theorem, ACID properties, HBase client API, MapReduce integration, configuration and administration. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 5 Test Type: K","['Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",5,['K']
Apache Hive (New),https://www.shl.com/products/product-catalog/view/apache-hive-new/,Yes,No,"Apache Hive (New) Description Multi-choice test that measures the knowledge of Hive architecture, datatypes, built-in functions, configurations, partitioning, bucketing and commands of Hive query language. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 5 Test Type: K","['Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",5,['K']
Apache Kafka (New),https://www.shl.com/products/product-catalog/view/apache-kafka-new/,Yes,No,"Apache Kafka (New) Description Multi-choice test that measures the knowledge of Apache Kafka architecture, components, clusters, performance tuning and advanced operations. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 6 Test Type: K","['Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",6,['K']
Apache Pig (New),https://www.shl.com/products/product-catalog/view/apache-pig-new/,Yes,No,"Apache Pig (New) Description Multi-choice test that measures the knowledge of Pig architecture, built-in operators, built-in functions and commands in PigLatin. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 6 Test Type: K","['Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",6,['K']
Apache Spark (New),https://www.shl.com/products/product-catalog/view/apache-spark-new/,Yes,No,"Apache Spark (New) Description Multi-choice test that measures the knowledge of Apache Spark principles, RDD operations - actions and transformations, lineage graphs and lazy evaluation. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 8 Test Type: K","['Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",8,['K']
ASP .NET with C# (New),https://www.shl.com/products/product-catalog/view/asp-net-with-c-new/,Yes,No,"ASP .NET with C# (New) Description Multi-choice test that measures the knowledge of .NET framework and controls, C# fundamentals, OOPs concepts and advanced topics such as data access components, state management and security services. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 13 Test Type: K","['Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",13,['K']
ASP.NET 4.5,https://www.shl.com/products/product-catalog/view/asp-net-4-5/,Yes,Yes,"ASP.NET 4.5 Description The ASP.NET 4.5 test measures knowledge of programming in the ASP.NET environment. Designed for experienced developers, but an average performer in this role should pass this test. This test includes the following topics: .NET Framework, Client-Side Programming, Data Access, Enhanced Runtime Features, Portals, Services and Mobile, Security, Troubleshooting and Optimization, Web Applications, and Web Forms. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = 30 Test Type: K","['Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",30,['K']
Assessment and Development Center Exercises,https://www.shl.com/products/product-catalog/view/assessment-and-development-center-exercises/,Yes,No,"Assessment and Development Center Exercises Description SHL offers a comprehensive range of Assessment and Development Centre exercise in digital format, for remote assessment through our Virtual Assessment and Development Centre platform. We offer a wide range of exercise types including group exercise, role plays, analysis presentations and written exercises. Exercises are available across a wide range of job levels and industry contexts. Contact SHL to find out more. Job levels Director, Entry-Level, Executive, Front Line Manager, General Population, Graduate, Manager, Mid-Professional, Professional Individual Contributor, Supervisor, Languages English International, English (USA), Assessment length Approximate Completion Time in minutes = Variable Test Type: E","['and industry contexts. Contact SHL to find out more. Job levels Director', 'Entry-Level', 'Executive', 'Front Line Manager', 'General Population', 'Graduate', 'Manager', 'Mid-Professional', 'Professional Individual Contributor', 'Supervisor', '']","['English International', 'English (USA)', '']",Variable,['E']
Automata - Fix (New),https://www.shl.com/products/product-catalog/view/automata-fix-new/,Yes,No,"Automata - Fix (New) Description A simulated compiler integrated test to measure debugging skills in C, C++ and Java. The test checks the ability to fix logical or syntactical errors and to reuse an existing code. Your use of this assessment product may be subject to New York City Law 144 (Regulation of the Use of Automated Employment Decision Tools) (dated July 5, 2023). Compliance with Law 144 is your responsibility. Read more on https://www.shl.com/legal/shl-us-regulatory-compliance/ Job levels Mid-Professional, Languages English (USA), Assessment length Approximate Completion Time in minutes = max 20 Test Type: S","['Mid-Professional', '']","['English (USA)', '']",max 20,['S']
Automata - SQL (New),https://www.shl.com/products/product-catalog/view/automata-sql-new/,Yes,No,"Automata - SQL (New) Description A simulated query writing test that measures the ability to write SQL queries to perform DDL, DML and DCL tasks. Job levels Mid-Professional, Professional Individual Contributor, Languages English (USA), Assessment length Approximate Completion Time in minutes = max 30 Test Type: S","['Mid-Professional', 'Professional Individual Contributor', '']","['English (USA)', '']",max 30,['S']
